ActivitySiteID,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime,MaxBookees,Number Booked,Price (INR),Demand_Ratio,Peak_Demand
HXP,20-20-20  2.45pm-3.45pm,4/8/2018,14:45:00,25,12,499,0.48,0
HXP,20-20-20  2.45pm-3.45pm,4/15/2018,14:45:00,25,15,499,0.6,0
HXP,20-20-20  2.45pm-3.45pm,4/22/2018,14:45:00,25,14,499,0.56,0
HXP,20-20-20  2.45pm-3.45pm,4/29/2018,14:45:00,25,9,499,0.36,0
HXP,20-20-20  2.45pm-3.45pm,5/6/2018,14:45:00,25,7,499,0.28,0
HXP,20-20-20  2.45pm-3.45pm,5/13/2018,14:45:00,25,10,499,0.4,0
HXP,20-20-20  2.45pm-3.45pm,5/20/2018,14:45:00,25,7,499,0.28,0
HXP,20-20-20  2.45pm-3.45pm,5/27/2018,14:45:00,25,3,499,0.12,0
TSC,20-20-20 7.00-8.00pm,4/4/2018,19:00:00,24,10,499,0.416666667,0
TSC,20-20-20 7.00-8.00pm,4/11/2018,19:00:00,24,12,499,0.5,0
TSC,20-20-20 7.00-8.00pm,4/18/2018,19:00:00,24,9,499,0.375,0
TSC,20-20-20 7.00-8.00pm,4/25/2018,19:00:00,24,5,499,0.208333333,0
TSC,20-20-20 7.00-8.00pm,5/2/2018,19:00:00,24,6,499,0.25,0
TSC,20-20-20 7.00-8.00pm,5/9/2018,19:00:00,24,5,499,0.208333333,0
TSC,20-20-20 7.00-8.00pm,5/16/2018,19:00:00,24,6,499,0.25,0
TSC,20-20-20 7.00-8.00pm,5/23/2018,19:00:00,24,6,499,0.25,0
TSC,20-20-20 7.00-8.00pm,5/30/2018,19:00:00,24,7,499,0.291666667,0
NBL,20-20-20 9.30-10.30am,4/3/2018,9:30:00,60,42,499,0.7,0
NBL,20-20-20 9.30-10.30am,4/10/2018,9:30:00,60,34,499,0.566666667,0
NBL,20-20-20 9.30-10.30am,4/17/2018,9:30:00,60,37,499,0.616666667,0
NBL,20-20-20 9.30-10.30am,4/24/2018,9:30:00,60,33,499,0.55,0
NBL,20-20-20 9.30-10.30am,5/1/2018,9:30:00,60,34,499,0.566666667,0
NBL,20-20-20 9.30-10.30am,5/8/2018,9:30:00,60,28,499,0.466666667,0
NBL,20-20-20 9.30-10.30am,5/15/2018,9:30:00,60,31,499,0.516666667,0
